title,rating,body,date
Affordable Air fryer with large capacity.,4.0,"We have used this Air fryer on an average 3 times per week in the past one month. So far we have made chips, roasted veggies, cutlets, pizza, and cake. For some items you might need to oil the base a little more.Ideally you can place an piece of foil to collect the excess oil which can prevent the oil from spoiling the base. Try to clean the fryer once it's cooled down but still a little hot. This will make it easier to get the oil out.The size is about half the width of a common microwave.The manual timer can sometimes glitch so you need to be careful that you keep an eye on it.",15 August 2020
THE BESTEST AIR FRYER,5.0,"Just WOW product.comes with very high capacity of 2.9 L food basket and 4.2L pan capacity.ultimate looks.packing is superb.LED indicator light also very good feature in this. Also very happy with booklet which I having with this product.the best home appliances brand.highly recommend to everybody.STAY HOME,STAY HEALTHY,COOK HEALTHY.",28 April 2020
poor product quality poor service,1.0,I purchased air fryer and with in 24 hours it stopped working. Lock switch stopped working. Raised a complaint on Monday 19th october at cc. They gave us 48 hours. Today is Friday no one turned up. Customer Care is closed speaking we are open from monday till saturday  and today is friday still closed at 15:15 hours. Beware of these chinese white labeled products.,23 October 2020
Healthy eating,4.0,"It's a good addition to the kitchen..takes up bit of a space like 1*1 feet. But the result of air frying is good. Less oil, so healthy at the same time. The only thing is that all air fryers need pre heating..but once it's heated you can fry continuously batch after batch.",6 January 2021
Faulty design on locking latch,1.0,"The push and release locking latch got stuck inside after pushing . I asked for product to be replaced which was done . Now the replaced same product also faces the same issue , the latch is stuck and not releasing , i am asking for refund this time and the refund window has lapsed . Please help if you can . thx",19 October 2020
Nice product for healthy cooking!,4.0,"This is a nice product, especially if you want to eat healthy. It's very easy to use and clean and the basket has sufficient space to cook for up to 4 people. Worth buying if you want to eliminate oil! The only minor downside is that it takes longer that traditional deep frying- but that's an ok tradeoff for good health!",14 July 2020
Worst product,1.0,Within 2 months this worst product stops working. One of the waste product don’t know how much more they want to cheat customer atleast this i will be raising in consumer forum. Buyed with so much trust as inalsa brand and this happened that my product stops working within 4 months,9 October 2020
User friendly,4.0,The product is user friendly and very easy to operate. The design and color of product is very impressive. Makes healthy and delicious food.,26 January 2019
Excellent product,5.0,Made paneer tikkas in inalsa air fryer and they turned out to be awesome. Absolutely loved the product. Highly recommend buying it. Plus inalsa offers home service of the product which is a huge benefit.,28 May 2019
Good product!,5.0,A good product. Super easy to use and cleanOne suggestion is to increase the temperature limit to atlest 300 c,28 January 2021
worst air fryer,1.0,got damaged within 1st use...cheap quality and plastic is also not good...give a burnt smell on cooking...go for havells or philips...this is aan honest review...plz dont waste your money people!,20 March 2019
Defective products are being sold by amazon.,1.0,1st time got defective product which was slightly damaged as default.Got it replaced after a month to which again got a more faulty piece.Now i dont have any option on what to do as i am not having replacemeny option now.,20 June 2019
Worst product,1.0,V disappointed with this..its work only 2-3 times then its is  not working.I  called customer care number also..no response...give best service to ur customer,1 October 2020
Nice product,5.0,"Very nice productLike it very much, food tastes great as if it’s really fried but without any oil. Easy to use and a must have for every household.",27 April 2020
Thanks to Inalsa Appliances,5.0,"A very good product, got it delivered yesterday and then only I used the product with some french fries and tandoori chicken for the dinner. Had a wonderful experience using the product.",29 June 2020
Product review,4.0,Great product with good capacity. Very happy with the quality as well as the capacity of the product.Would definitely recommend the product.,2 November 2020
Inalsa air fry,5.0,"Your browser does not support HTML5 video.


   Really liked the product.. its easy to clean. Loved it... my 1st experince is realy nice and awsome exp. So.",28 October 2020
Seems good.,5.0,Just tried it on receipt of the fryer and it seems good. The potato wedges turned out quite well. To try more frying,7 January 2021
Spacious and healthy!,4.0,Easy to use and user friendly. Satisfied! Spacious and efficient for daily usage in life. Healthy and tasty food in just few minutes.,28 January 2021
Wonderful utility,5.0,"Very easy to use product with multiple utilities like potato wedges, french fries and cheese balls. Easy to clean as well.",30 September 2020
Excellent Product,5.0,Very easy to use and friendly. Definitely recommended and one should go for it.Thank you for this good product.,22 September 2020
Best quality,5.0,"Very easy to use and clean, best in terms of quality, and competitive pricing as compared to others. Great functions.",25 March 2021
Good product,5.0,Pride of our kitchenGood product !!! 😊Easy to makeEasy to cleanProduct is very user-friendly !!! 👍,19 October 2020
A Must Have!,5.0,A pretty good product. Fries with minimal oil.,10 July 2020
"Superb, amazing product",4.0,I like very much. it will help to  prepare healthy food in place of deep fry and save the  monthly vegetable oil consumption.,8 October 2020
Good,5.0,"Easy to use,  best in this price,  very easy to use,  happy with the product,  must buy it,  very happy😊",31 October 2020
Competative price of inalsa air fryer,5.0,Awsome quality digital display lowest price easy to operate good looking product 😍😍,27 April 2020
Worst product,1.0,Very bad quality of product.and he working bad.,14 August 2020
Very handy..,4.0,"Easy to use and time saving. Food sticks too much , needs a better non stick basket.",6 August 2020
Air fryer is much healthier Today,5.0,Nice Product uses a lot less oil would say a more healthy frying alternative.,27 April 2020
RS,5.0,"This product has very good effect on time. and product use is very easy,",28 April 2020
not working at all,1.0,Even before pre heating it is not working.I requested for replacement but not yet replaced.,4 July 2019
Good,5.0,Good product,27 April 2020
Awesome product👍,5.0,Very nice air fryer easy to use I really love this. Must buy product 🔥😍,14 February 2020
Great priduct,5.0,Nothing,23 February 2021
Nice purchase,4.0,Nice purchase at this price. Satisfied 👌,8 September 2019
Excellent Product. Proud owner of Inalsa Air Fryer .,5.0,Excellent Product. Worth Money.,13 August 2019
Worth the price,3.0,Amazing product,2 August 2019
An average fryer,4.0,"This is an air fryer for all those budget-conscious foodies who want to help their hearts eat healthily.It's not the best in the market, but it does its job okay for cooking that takes less than half an hour.The handle quality is bad. Use carefully. I got the entire unit replaced the second day itself.The control knobs are below average.The replaced one is working well for over two months now without any issues.The taste of food reduces greatly, of course. I little bit of oil or butter can be brushed at the end for taste. Little means, very little.",16 September 2020
Not worth,2.0,"Delivery feedback - unprofessional. Courier guy delivered the item at the security gate of residential complex after discussing with me but reported as ‘delivered direct to customer’ which isn’t appropriate.About item- Bought to have an initial experience of an air fryer. Product doesn’t seem to be of acceptable standards. Even at highest temp i.e. 200 degrees and using as per the recommended time, the food (eg thin home fries) couldn’t get crispy or tender. The demo provided by company isn’t satisfactory as the demo guy himself doesn’t know much about its working. Build quality is also very much average. If Inalsa wants to gain popularity in this segment then they need to improve drastically. Just selling a product for a cheaper price doesn’t help always",7 April 2019
Product is good but customer care app and portal needs improvement.,5.0,Product is good in quality and price. The customer care they need to improve. I registered in INALSA CARE android app with my mobile number and tried to add the product but I could not. Then I registered in their website with email since there was no option to login with already registered mobile number and there was no option to add product in web portal. So there's syncing issue between mobile app and web.,6 November 2020
Good product for reducing oil consumption,4.0,It's a good product for people wanting to cut down on their oil consumption.Food cooks well.Easy to useFood gets cooked evenlyNot ideal for big families as cooking bowl isn't very big,24 September 2020
Best bang for buck in Airfryers,5.0,"Big, easy to use and looks good in black finish. We cooked samosas, while they were just 90% as good in taste as compared to deep fryed samosas, but they were 100% more Healthy as it took very little oil.If you're looking for a good spacious airfryer under 5k, I would recommend you this airfryer.",29 August 2020
"The fryer is good , but not sure of warranty",5.0,"Although the product is great in usage, but there was no instructions manual or any warranty card in the package.. so a bit disappointed..",2 November 2020
Delicate plastic components,2.0,"An average product with delicate plastic components( I don't know if it's ABS or other kind of plastic).  Though, Philips is expensive, it's worth paying for their product .",26 September 2020
Good Overall,5.0,"There is a kind of plastic smell when you cook, washed and cleaned several times, won’t go away fully but otherwise good",5 December 2020
"Only dryer received, no manual or recipe book or warranty card in the box.",3.0,"I haven’t received the instruction manual, recipe book and warranty card. How m I supposed to use this without the instruction manual? I will probably get this replaced or returned- if they do not provide me with all that!",23 October 2020
Value for money n easy to clean,5.0,So far excellent. Isnt as fast as kenstar but enough. Best thing is that the fry pan is truly non stick n very easy to clean,7 March 2020
Good to have for every household with kids,4.0,Works well... Nice for avoid oily cooking and still continue to eat fried,8 February 2021
Good and useful product,5.0,Very solid and useful product. Easy to use and clean.,6 February 2021
Low quality,3.0,Very low quality product plus the lock got damaged in 2 days itself. Better to pay a few bucks extra and buy Philips that we used for 8 years without any issues,5 August 2020
Very easy to use and good product,5.0,Its very easy to setup and use this product.,29 July 2020
GOOD PRODUCT BUT BAD SERVICE,3.0,"THE PRODUCT WORKED WELL FOR ME FOR A FEW MONTHS AND THEN JUST DIED, I HAVE WARRANTY AND NEED REPLACEMENT PLEASE CALL ME ON 9833154503 OR 9820031460",30 July 2020
Inalsa Rocks !!!!,5.0,Used it twice till now. Easy to use and clean. Food also is cooked properly and very tasty. Go for it !!!,23 August 2020
Product is as described...,5.0,Product is as described & price worthy.,31 July 2020
Inalsa air fryer great,5.0,Good product at a very reasonable price,3 September 2020
Working fine,3.0,"Working fine,",29 June 2020
Easy to use and value for money,5.0,Excellent quality and easy to use. Value for money,28 January 2021
Value for money product,5.0,It is very easy to use and a very good product.,9 January 2021
I would rate it as a Good air fryer,4.0,"I had used air fryer for cooking french fries and Paneer Tikka. Both were excellent and my familiy liked it,",16 July 2020
"My relative is already using similar product. When compared both, Inalsa is Better Fryer.",5.0,User friendly. Easy to operate.,2 November 2020
Amazing air fryer,5.0,"It is an awesome fryer , must buy",30 December 2020
Best of All,4.0,Good Value for. Money,12 August 2019
Nice and handy,5.0,Easy to use and good performance,14 August 2020
Value for money!,4.0,Very easy to use and convenient. Happy with the product.,12 March 2019
May have,3.0,Easy fr frozen foods,12 October 2019
Stopped working in a month,1.0,Stopped working only after a month. Very bad product. Please don't buy.,4 September 2020
Happy  eating,4.0,Good product,28 March 2019
Nice,5.0,Very good.,14 December 2019
Bad customer services,1.0,We expected good service but I salsa is very bad customer s service in India they side 2 years but  gurrenty but no response to buyers in India Amazon will take action to insala products r give money back to costumers Amazon of India,5 June 2020
It’s available on Flipkart for 3998,5.0,It’s available on Flipkart for 3998 it’s a good product I have it. Also it doesn’t get over heated and gives good food without fail,5 May 2019
waste of money,1.0,"Hate to say I order two for my sister to gift but such a poor quality made, handle was broken first day itself and second piece button never came back ...One word - Avoid this product",13 December 2020
Ok,4.0,So so,6 March 2021
